Location,Date,Number of Days,Alert or Closed
Cove,7/2/25,1,closed
blanchard,7/2/25,1,closed
Blodgett,7/2/25,1,Closed
Texaco,7/2/25,1,Closed
North Beach,7/2/25,1,alert
Blanchard,7/9/25,2,closed
Cove,7/9/25,2,closed
Texaco,7/10/25,3,Closed
North Beach,7/10/25,3,Closed
Leddy,7/10/25,1,Closed
Blodgett,7/9/25,2,Closed
Leddy,7/11/25,1,Alert
Texaco,7/15/25,2,Closed
North Beach,7/15/25,2,Closed
leddy,7/15/25,1,Alert
Leddy,7/25/25,6,Alert
North Beach,7/28/25,2,Closed
Texaco,7/28/25,3,Closed
Blanchard,7/28/25,2,Closed
Cove,7/28/25,3,Closed
blodgett,7/28/25,3,Closed
blodgett,7/30/25,3,Closed
North Beach,8/25/25,1,Alert
Texaco,8/25/25,1,Alert
Leddy,8/25/25,1,Alert
Blanchard,9/1/25,1,Alert
Blodgett,9/1/25,1,Alert
Leddy,9/1/25,1,alert
texaco,9/1/25,1,alert
North Beach,9/2/25,1,Closed
Texaco,9/2/25,1,Closed
North Beach,9/8/25,1,closed
Texaco,9/8/25,1,closed
leddy,9/8/25,1,alert
Texaco,6/28/24,1,Alert
North Beach,7/2/24,1,Alert
Texaco,7/2/24,1,Alert
Leddy,7/2/24,1,Alert
Blodget,7/2/24,1,Alert
Blodget,7/5/24,1,Alert
cove,7/5/24,1,Alert
blanchard,7/6/24,1,Alert
Blanchard,7/8/24,1,Alert
Blodgett,7/8/24,1,Alert
Texaco,7/8/24,1,Alert
cove,7/8/24,1,Alert
Blodgett,7/27/24,1,Alert
blanchard,7/27/24,1,Alert
Texaco,8/1/24,1,Alert
Leddy,8/1/24,1,Alert
Blodgett,8/3/24,1,Alert
North Beach,8/3/24,1,Alert
texaco,8/3/24,1,Alert
blanchard,8/3/24,1,Alert
leddy,8/3/24,1,Alert
Blanchard,8/14/24,1,Alert
texaco,8/14/24,1,Alert
leddy,8/26/24,2,Alert
cove,8/26/24,2,Alert
Blodgett,8/26/24,1,Alert
texaco,8/28/24,1,Alert
leddy,8/28/24,1,Alert
cove,9/13/24,1,Alert
leddy,9/13/24,1,Alert
texaco,9/17/24,3,Alert
North Beach,9/18/24,3,Alert
leddy,7/12/24,1,Closed
blanchard,7/12/24,1,Closed
North Beach,8/3/24,1,Closed
texaco,8/3/24,1,Closed
North Beach,8/26/24,2,Closed
texaco,8/26/24,2,Closed
North Beach,9/13/24,3,Closed
texaco,9/13/24,3,Closed
North Beach,6/25/23,1,Closed
Texaco Beach,6/25/23,1,Closed
Blanchard Beach,6/25/23,1,Closed
Cove Beach,6/25/23,1,Closed
Leddy Beach,6/25/23,1,Closed
North Beach,6/30/23,1,Closed
Texaco Beach,6/30/23,1,Closed
Blanchard Beach,6/30/23,1,Closed
Cove Beach,6/30/23,1,Closed
Leddy Beach,6/30/23,1,Closed
Cove Beach,7/3/23,2,Closed
Blanchard Beach,7/3/23,2,Closed
blodget beach,7/4/23,1,Closed
North Beach,7/5/23,4,Closed
Texaco Beach,7/5/23,4,Closed
Blanchard Beach,7/5/23,2,Closed
Leddy Beach,7/6/23,1,Closed
Blanchard Beach,7/8/23,1,Closed
the cove,7/8/23,1,Closed
Texaco Beach,7/19/23,2,Closed
North Beach,7/20/23,1,Closed
Blanchard Beach,7/20/23,1,Closed
the cove,7/20/23,1,Closed
blodgett,7/20/23,1,Closed
Leddy Beach,7/23/23,2,Closed
north beach,7/25/23,1,Closed
Texaco Beach,7/25/23,1,Closed
Leddy Beach,7/25/23,1,Closed
north beach,7/28/23,1,Closed
north beach,9/5/23,2,Closed
Texaco Beach,9/5/23,2,Closed
blogett beach,9/5/23,2,Closed
Blanchard Beach,9/5/23,2,Closed
Cove Beach,9/5/23,2,Closed
Leddy Beach,9/6/23,1,Closed
the cove,7/13/22,1,Closed
the cove,7/17/22,1,Closed
Blanchard,7/17/22,1,Closed
North Beach,7/17/22,1,Closed
Texaco,7/17/22,1,Closed
Leddy,7/17/22,1,Closed
North Beach,7/19/22,2,Closed
texaco,7/19/22,2,Closed
Leddy,7/19/22,2,Closed
blanchard,7/19/20,2,Closed
the cove,7/20/22,1,Closed
Blodget,7/20/22,1,Closed
Leddy,7/27/22,3,Closed
North Beach,7/28/22,1,Closed
North Beach,7/31/22,1,Closed
Leddy,7/31/22,1,Closed
North Beach,8/1/22,1,Closed
Leddy,8/1/22,3,Closed
Leddy,8/5/22,1,Closed
North Beach,8/20/22,1,Closed
Blanchard,8/24/22,1,Closed
the cove,8/24/22,1,Closed
texaco,10/1/22,2,Closed
BH Dock d,7/9/21,2,Closed
Perkins Marina,7/9/21,1,Closed
Texaco,7/12/21,1,Closed
North Beach,7/12/21,1,Closed
Leddy,7/12/21,1,Closed
Blanchard,7/12/21,1,Closed
Cove,7/12/21,1,Closed
Blodget,7/12/21,1,Closed
Perkins,7/12/21,1,Closed
Texaco,7/15/21,1,Closed
North Beach,7/15/21,2,Closed
Leddy,7/15/21,3,Closed
North Beach,7/20/21,1,Closed
Texaco,7/20/21,1,Closed
leddy,7/20/21,3,Closed
cove,7/20/21,1,Closed
perkins,7/20/21,1,Closed
Blanchard,7/20/21,1,Closed
North Beach,7/22/21,1,Closed
Texaco,7/22/21,1,Closed
cove,7/22/21,2,Closed
perkins,7/22/21,6,Closed
Blanchard,7/22/21,2,Closed
North Beach,7/24/21,1,Closed
Texaco,7/24/21,1,Closed
Texaco,8/5/21,1,Closed
Blanchard,8/20/21,1,Closed
cove,8/20/21,1,Closed
Leddy,10/6/21,1,Closed
Texaco,10/6/21,1,Closed
Dog park steps,10/6/21,1,Closed
perkins,10/6/21,1,Closed
Texaco,10/15/21,1,Closed
North Beach,10/15/21,1,Closed
Blanchard,10/20/21,1,Closed
cove,10/20/21,1,Closed
CG boat luanch,6/27/20,1,Closed
Perkins Pier,6/27/20,1,Closed
Fishing pier,7/9/20,2,Closed
Boardwalk,7/9/20,2,Closed
North Beach Park,7/10/20,1,Closed
Texaco Beach,7/10/20,1,Closed
Leddy beach,7/10/20,0,Closed
Blanchard Beach,7/27/20,1,Closed
The Cove,7/30/20,3,Closed
Blanchard Beach,7/31/20,1,Closed
Texaco Beach,8/1/20,1,Closed
North Beach Park,8/1/20,1,Closed
Perkins Pier,8/1/20,1,Closed
coastguard ramp,8/1/20,1,Closed
boathouse,8/1/20,1,Closed
North Beach Park,8/6/20,1,Closed
Leddy beach,8/6/20,1,Closed
Texaco Beach,8/6/20,1,Closed
the cove,8/6/20,1,Closed
Blanchard Beach,8/7/20,1,Closed
Texaco Beach,8/8/20,1,Closed
North Beach Park,8/8/20,1,Closed
Leddy beach,8/8/20,1,Closed
The Cove,8/8/20,1,Closed
North Beach Park,8/10/20,1,Closed
Texaco Beach,8/10/20,4,Closed
Blanchard Beach,8/10/20,1,Closed
The Cove,8/10/20,1,Closed
Dog Park Steps,8/10/20,3,Closed
North Beach Park,8/12/20,2,Closed
Blanchard Beach,8/12/20,2,Closed
The Cove,8/12/20,2,Closed
Leddy beach,8/12/20,2,Closed
The Cove,8/31/20,1,Closed
Blanchard Beach,8/31/20,1,Closed
Texaco Beach,8/31/20,1,Closed
The Cove,9/3/20,1,Closed
Texaco Beach,9/3/20,1,Closed
Leddy beach,9/3/20,1,Closed
Blanchard Beach,9/3/20,1,Closed
The Cove,9/6/20,1,Closed
Blanchard Beach,9/6/20,1,Closed
Texaco Beach,9/6/20,1,Closed
North Beach Park,9/6/20,1,Closed
North beach,7/12/19,1,Closed
Texaco,7/12/19,1,Closed
Leddy,7/12/19,1,Closed
Cove,7/15/19,1,Closed
Texaco,7/15/19,1,Closed
Cove,7/18/19,2,Closed
Blanchard,7/18/19,1,Closed
texaco,7/20/19,1,Closed
north beach,7/20/19,2,Closed
North Beach,7/31/18,1,Closed
Leddy,7/31/18,1,Closed
Texaco,7/31/18,1,Closed
north Beach,8/3/18,1,Closed
Texaco,9/18/18,1,Closed
Leddy,9/18/18,1,Closed
North Beach,9/25/17,3,Closed
Texaco,9/25/17,3,Closed
The Cove,9/25/17,2,Closed
Leddy,9/25/17,1,Closed
Texaco,7/7/16,1,Closed
North Beach,7/7/16,1,Closed
North Beach,7/12/16,2,Closed
Texaco,7/12/16,2,Closed
Blanchard Beach,7/13/16,1,Closed
Leddy Beach,7/13/16,1,Closed
Leddy Beach,7/15/16,1.5,Closed
north Beach,7/15/16,2,Closed
Texaco Beach,7/15/16,2,Closed
North Beach,7/17/16,2,Closed
Texaco Dog Beach,7/17/16,2,Closed
Leddy Beach,7/28/16,1,Closed
Leddy Beach,7/29/16,1,Closed
Leddy Beach,7/30/16,1,Closed
Leddy Beach,7/31/16,1,Closed
Texaco Beach,10/4/16,1,Closed
North Beach,10/5/16,1,Closed